organism,reattribution_factor,V_glyc_effective,V_resp_effective,flip_uG,rho,baseline_rho,delta_rho_from_baseline,delta_flip_from_baseline,attribution_sensitivity
yeast,0.8959183673469387,0.4121224489795918,0.009384693877551023,0.2956913827655311,0.29603099930672483,0.24021739130434785,0.055813608002376974,0.05555110220440884,0.05555110220440884
yeast,0.9081632653061225,0.41775510204081634,0.00928061224489796,0.2877555110220441,0.2888006839276991,0.24021739130434785,0.04858329262335123,0.047615230460921865,0.047615230460921865
yeast,0.9204081632653061,0.4233877551020408,0.0091765306122449,0.27981963927855713,0.2817627494456763,0.24021739130434785,0.04154535814132845,0.03967935871743489,0.03967935871743489
yeast,0.9326530612244898,0.4290204081632653,0.009072448979591839,0.2738677354709419,0.27490961849491014,0.24021739130434785,0.03469222719056228,0.033727454909819654,0.033727454909819654
yeast,0.9448979591836735,0.4346530612244898,0.008968367346938776,0.26791583166332666,0.2682341064888722,0.24021739130434785,0.028016715184524338,0.02777555110220442,0.02777555110220442
yeast,0.9571428571428571,0.4402857142857143,0.008864285714285715,0.2599799599198397,0.261729396495782,0.24021739130434785,0.02151200519143412,0.019839679358717444,0.019839679358717444
yeast,0.9693877551020408,0.4459183673469388,0.008760204081632654,0.25402805611222445,0.25538901601830666,0.24021739130434785,0.015171624713958803,0.01388777555110221,0.01388777555110221
yeast,0.9816326530612245,0.4515510204081633,0.008656122448979592,0.24807615230460922,0.2492068155111633,0.24021739130434785,0.00898942420681545,0.007935871743486977,0.007935871743486977
yeast,0.9938775510204081,0.45718367346938776,0.008552040816326531,0.242124248496994,0.24317694848674226,0.24021739130434785,0.0029595571823944067,0.0019839679358717444,0.0019839679358717444
yeast,1.0061224489795917,0.4628163265306122,0.008447959183673472,0.23617234468937875,0.23729385307346337,0.24021739130434785,-0.0029235382308844815,-0.003967935871743489,0.003967935871743489
yeast,1.0183673469387755,0.46844897959183673,0.00834387755102041,0.23022044088176352,0.2315522349045918,0.24021739130434785,-0.008665156399756041,-0.009919839679358722,0.009919839679358722
yeast,1.030612244897959,0.4740816326530612,0.008239795918367349,0.2242685370741483,0.22594705122686187,0.24021739130434785,-0.014270340077485982,-0.015871743486973955,0.015871743486973955
yeast,1.0428571428571427,0.47971428571428565,0.008135714285714288,0.2203006012024048,0.22047349612864808,0.24021739130434785,-0.01974389517569977,-0.019839679358717444,0.019839679358717444
yeast,1.0551020408163265,0.4853469387755102,0.008031632653061225,0.21434869739478957,0.21512698679673703,0.24021739130434785,-0.025090404507610825,-0.025791583166332677,0.025791583166332677
yeast,1.0673469387755101,0.4909795918367347,0.007927551020408164,0.20839679358717433,0.20990315071909554,0.24021739130434785,-0.03031424058525231,-0.03174348697394791,0.03174348697394791
yeast,1.079591836734694,0.49661224489795924,0.007823469387755102,0.20442885771543085,0.20479781375852715,0.24021739130434785,-0.0354195775458207,-0.0357114228456914,0.0357114228456914
yeast,1.0918367346938775,0.5022448979591837,0.007719387755102041,0.1984769539078156,0.19980698902885005,0.24021739130434785,-0.0404104022754978,-0.04166332665330663,0.04166332665330663
yeast,1.1040816326530611,0.5078775510204081,0.007615306122448981,0.19450901803607212,0.19492686651129157,0.24021739130434785,-0.045290524793056286,-0.04563126252505012,0.04563126252505012
yeast,1.116326530612245,0.5135102040816327,0.007511224489795919,0.1885571142284569,0.19015380335426435,0.24021739130434785,-0.050063587950083505,-0.05158316633266535,0.05158316633266535
yeast,1.1285714285714286,0.5191428571428571,0.007407142857142858,0.1845891783567134,0.18548431480462302,0.24021739130434785,-0.054733076499724836,-0.05555110220440884,0.05555110220440884
yeast,1.1408163265306124,0.5247755102040818,0.007303061224489795,0.1806212424849699,0.1809150657229524,0.24021739130434785,-0.05930232558139545,-0.05951903807615233,0.05951903807615233
yeast,1.153061224489796,0.5304081632653062,0.0071989795918367344,0.17466933867735468,0.1764428626394767,0.24021739130434785,-0.06377452866487116,-0.06547094188376756,0.06547094188376756
yeast,1.1653061224489796,0.5360408163265307,0.0070948979591836745,0.1707014028056112,0.17206464631082008,0.24021739130434785,-0.06815274499352778,-0.06943887775551105,0.06943887775551105
yeast,1.1775510204081634,0.5416734693877552,0.006990816326530612,0.1667334669338677,0.16777748474116494,0.24021739130434785,-0.07243990656318292,-0.07340681362725454,0.07340681362725454
yeast,1.189795918367347,0.5473061224489797,0.006886734693877551,0.1627655310621242,0.16357856663435003,0.24021739130434785,-0.07663882466999783,-0.07737474949899803,0.07737474949899803
yeast,1.2020408163265306,0.5529387755102041,0.00678265306122449,0.15879759519038072,0.15946519524618,0.24021739130434785,-0.08075219605816786,-0.08134268537074152,0.08134268537074152
yeast,1.2142857142857144,0.5585714285714286,0.006678571428571428,0.15482965931863724,0.15543478260869562,0.24021739130434785,-0.08478260869565224,-0.08531062124248501,0.08531062124248501
yeast,1.226530612244898,0.5642040816326531,0.006574489795918367,0.15086172344689375,0.15148484410041232,0.24021739130434785,-0.08873254720393553,-0.0892785571142285,0.0892785571142285
yeast,1.2387755102040816,0.5698367346938775,0.006470408163265307,0.14689378757515026,0.1476129933385861,0.24021739130434785,-0.09260439796576175,-0.09324649298597198,0.09324649298597198
yeast,1.2510204081632654,0.5754693877551021,0.0063663265306122445,0.14292585170340677,0.14381693737144474,0.24021739130434785,-0.09640045393290311,-0.09721442885771547,0.09721442885771547
yeast,1.263265306122449,0.5811020408163265,0.006262244897959184,0.13895791583166328,0.1400944721500316,0.24021739130434785,-0.10012291915431626,-0.10118236472945896,0.10118236472945896
yeast,1.2755102040816326,0.5867346938775511,0.006158163265306123,0.1349899799599198,0.13644347826086956,0.24021739130434785,-0.1037739130434783,-0.10515030060120245,0.10515030060120245
yeast,1.2877551020408164,0.5923673469387756,0.00605408163265306,0.1310220440881763,0.13286191690208773,0.24021739130434785,-0.10735547440226012,-0.10911823647294594,0.10911823647294594
yeast,1.3,0.5980000000000001,0.00595,0.12903807615230456,0.1293478260869565,0.24021739130434785,-0.11086956521739136,-0.11110220440881768,0.11110220440881768
mammalian,0.7,0.27299999999999996,0.005200000000000001,0.30362725450901806,0.30476190476190484,0.1641025641025641,0.14065934065934074,0.14086172344689385,0.14086172344689385
mammalian,0.7122448979591837,0.27777551020408164,0.005151020408163266,0.2956913827655311,0.29670119756079644,0.1641025641025641,0.13259863345823233,0.13292585170340687,0.13292585170340687
mammalian,0.7244897959183673,0.28255102040816327,0.00510204081632653,0.2877555110220441,0.28891296496930297,0.1641025641025641,0.12481040086673886,0.1249899799599199,0.1249899799599199
mammalian,0.736734693877551,0.2873265306122449,0.005053061224489796,0.27981963927855713,0.2813836209958094,0.1641025641025641,0.11728105689324528,0.11705410821643292,0.11705410821643292
mammalian,0.7489795918367347,0.2921020408163265,0.0050040816326530615,0.2738677354709419,0.2741004681059177,0.1641025641025641,0.1099979040033536,0.11110220440881768,0.11110220440881768
mammalian,0.7612244897959183,0.29687755102040814,0.004955102040816326,0.2659318637274549,0.2670516257647625,0.1641025641025641,0.10294906166219839,0.1031663326653307,0.1031663326653307
mammalian,0.773469387755102,0.30165306122448976,0.004906122448979592,0.2599799599198397,0.2602259657668629,0.1641025641025641,0.09612340166429881,0.09721442885771547,0.09721442885771547
mammalian,0.7857142857142857,0.30642857142857144,0.004857142857142858,0.2520440881763527,0.25361305361305364,0.1641025641025641,0.08951048951048954,0.0892785571142285,0.0892785571142285
mammalian,0.7979591836734694,0.31120408163265306,0.004808163265306122,0.24609218436873748,0.24720309528493672,0.1641025641025641,0.08310053118237262,0.08332665330661326,0.08332665330661326
mammalian,0.810204081632653,0.3159795918367347,0.004759183673469388,0.24014028056112224,0.24098688884583094,0.1641025641025641,0.07688432474326684,0.07737474949899803,0.07737474949899803
mammalian,0.8224489795918367,0.3207551020408163,0.004710204081632654,0.234188376753507,0.2349557803652097,0.1641025641025641,0.0708532162626456,0.0714228456913828,0.0714228456913828
mammalian,0.8346938775510204,0.325530612244898,0.0046612244897959185,0.22823647294589178,0.2291016237226506,0.1641025641025641,0.06499905962008651,0.06547094188376756,0.06547094188376756
mammalian,0.846938775510204,0.33030612244897956,0.004612244897959184,0.22228456913827654,0.22341674389867167,0.1641025641025641,0.05931417979610756,0.05951903807615233,0.05951903807615233
mammalian,0.8591836734693877,0.33508163265306123,0.00456326530612245,0.2163326653306613,0.21789390340459228,0.1641025641025641,0.053791339302028174,0.0535671342685371,0.0535671342685371
mammalian,0.8714285714285714,0.33985714285714286,0.004514285714285715,0.21236472945891782,0.212526271542665,0.1641025641025641,0.04842370744010091,0.04959919839679361,0.04959919839679361
mammalian,0.883673469387755,0.3446326530612245,0.00446530612244898,0.2064128256513026,0.2073073962219459,0.1641025641025641,0.04320483211938181,0.043647294589178376,0.043647294589178376
mammalian,0.8959183673469387,0.3494081632653061,0.004416326530612246,0.20046092184368736,0.20223117808539226,0.1641025641025641,0.03812861398282816,0.03769539078156314,0.03769539078156314
mammalian,0.9081632653061225,0.3541836734693878,0.00436734693877551,0.19649298597194387,0.19729184673004896,0.1641025641025641,0.033189282627484856,0.033727454909819654,0.033727454909819654
mammalian,0.9204081632653061,0.35895918367346935,0.0043183673469387755,0.19054108216432863,0.19248393882540227,0.1641025641025641,0.028381374722838165,0.02777555110220442,0.02777555110220442
mammalian,0.9326530612244898,0.36373469387755103,0.004269387755102041,0.18657314629258515,0.18780227795545082,0.1641025641025641,0.023699713852886717,0.023807615230460932,0.023807615230460932
mammalian,0.9448979591836735,0.36851020408163265,0.004220408163265306,0.18260521042084166,0.18324195602813312,0.1641025641025641,0.019139391925569016,0.019839679358717444,0.019839679358717444
mammalian,0.9571428571428571,0.3732857142857143,0.004171428571428572,0.17863727454909817,0.17879831611174896,0.1641025641025641,0.014695752009184854,0.015871743486973955,0.015871743486973955
mammalian,0.9693877551020408,0.3780612244897959,0.004122448979591837,0.17268537074148294,0.17446693657219975,0.1641025641025641,0.010364372469635647,0.009919839679358722,0.009919839679358722
mammalian,0.9816326530612245,0.3828367346938776,0.004073469387755102,0.16871743486973945,0.17024361639746255,0.1641025641025641,0.006141052294898447,0.005951903807615233,0.005951903807615233
mammalian,0.9938775510204081,0.38761224489795915,0.004024489795918368,0.16474949899799596,0.16612436160690783,0.1641025641025641,0.0020217975043437253,0.0019839679358717444,0.0019839679358717444
mammalian,1.0061224489795917,0.39238775510204077,0.003975510204081633,0.16078156312625247,0.16210537265304004,0.1641025641025641,-0.001997191449524066,-0.0019839679358717444,0.0019839679358717444
mammalian,1.0183673469387755,0.39716326530612245,0.003926530612244898,0.15681362725450898,0.15818303273213094,0.1641025641025641,-0.005919531370433162,-0.005951903807615233,0.005951903807615233
mammalian,1.030612244897959,0.40193877551020407,0.003877551020408164,0.1528456913827655,0.15435389692815438,0.1641025641025641,-0.009748667174409725,-0.009919839679358722,0.009919839679358722
mammalian,1.0428571428571427,0.4067142857142857,0.0038285714285714294,0.148877755511022,0.15061468212153148,0.1641025641025641,-0.013487881981032623,-0.01388777555110221,0.01388777555110221
mammalian,1.0551020408163265,0.4114897959183674,0.003779591836734694,0.14689378757515026,0.14696225760055545,0.1641025641025641,-0.01714030650200865,-0.015871743486973955,0.015871743486973955
