model,g_avail,J_ATP,J_ATP_glyc,J_ATP_resp,frac_glyc,phi_G,phi_R,phenotype,eps_ratio,organism
Model A (Shen LP),0.049000672240802685,0.10364328559436221,0.09753118272220897,0.006112102872153247,0.9410275075987583,0.21202431026567164,0.0479756897343269,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.04950066889632108,0.10438206341588775,0.09855294399070502,0.00582911942518273,0.9441559283805507,0.2142455304145761,0.045754469585421745,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.05000066555183948,0.10512084123741364,0.09957470525920106,0.005546135978212574,0.9472403767613815,0.21646675056348055,0.04353324943651942,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.05050066220735787,0.10585961905893918,0.10059646652769712,0.005263152531242057,0.9502817733709045,0.21868797071238502,0.041312029287614266,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.05100065886287626,0.10659839688046488,0.10161822779619316,0.004980169084271721,0.9532810133171489,0.22090919086128946,0.039090809138710526,mixed,0.27695652173913043,ecoli
Model A (Shen LP),0.05150065551839466,0.10733717470199043,0.10263998906468923,0.004697185637301204,0.9562389670648365,0.22313041101019396,0.03686958898980537,mixed,0.27695652173913043,ecoli
Model A (Shen LP),0.05200065217391305,0.10807595252351597,0.10366175033318528,0.004414202190330688,0.959156481277644,0.22535163115909843,0.034648368840900216,mixed,0.27695652173913043,ecoli
Model A (Shen LP),0.052500648829431444,0.10881473034504167,0.10468351160168132,0.0041312187433603514,0.9620343796261717,0.22757285130800287,0.03242714869199648,mixed,0.27695652173913043,ecoli
Model A (Shen LP),0.05300064548494984,0.10955350816656723,0.10570527287017739,0.0038482352963898347,0.9648734635632215,0.22979407145690736,0.030205928543091325,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.053500642140468235,0.1102922859880931,0.10672703413867342,0.003565251849419679,0.9676745130678988,0.23201529160581177,0.027984708394189,mixed,0.27695652173913043,ecoli
Model A (Shen LP),0.05400063879598663,0.11103106380961864,0.10774879540716947,0.003282268402449162,0.9704382873600386,0.23423651175471624,0.02576348824528385,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.054500635451505026,0.11176984163114419,0.10877055667566554,0.0029992849554786455,0.9731655255862606,0.23645773190362074,0.023542268096378695,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.05500063210702342,0.11250861945266989,0.10979231794416158,0.002716301508508309,0.9758569474790241,0.23867895205252518,0.021321047947474955,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.05550062876254182,0.11324739727419544,0.11081407921265765,0.0024333180615377925,0.97851325398988,0.24090017220142967,0.0190998277985698,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.05600062541806021,0.11398617509572098,0.1118358404811537,0.002150334614567276,0.9811351278980849,0.24312139235033414,0.016878607649664645,mixed,0.27695652173913043,ecoli
Model A (Shen LP),0.0565006220735786,0.11472495291724669,0.11285760174964975,0.0018673511675969395,0.9837232343957125,0.24534261249923858,0.014657387500760908,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.057000618729097,0.1154637307387724,0.1138793630181458,0.0015843677206266032,0.9862782216503023,0.24756383264814302,0.012436167351857168,mixed,0.27695652173913043,ecoli
Model A (Shen LP),0.05750061538461539,0.11620250856029794,0.11490112428664186,0.0013013842736560866,0.9888007213460388,0.2497850527970475,0.010214947202952015,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.05800061204013379,0.11694128638182366,0.11592288555513791,0.0010184008266857503,0.9912913492044154,0.25200627294595196,0.007993727054048275,glycolysis,0.2769565217391304,ecoli
Model A (Shen LP),0.058500608695652184,0.1176800642033492,0.11694464682363397,0.0007354173797152336,0.9937507054853025,0.2542274930948564,0.005772506905143121,glycolysis,0.2769565217391304,ecoli
Model A (Shen LP),0.059000605351170576,0.11841884202487474,0.11796640809213002,0.0004524339327447169,0.9961793754692376,0.2564487132437609,0.003551286756237966,glycolysis,0.2769565217391304,ecoli
Model A (Shen LP),0.059500602006688975,0.11915761984640046,0.11898816936062608,0.0001694504857743806,0.9985779299217892,0.25866993339266536,0.0013300666073342276,glycolysis,0.27695652173913043,ecoli
Model A (Shen LP),0.06000059866220737,0.11960000000000001,0.11960000000000001,0.0,1.0,0.26,-0.0,glycolysis,0.0,ecoli
Model A (Shen LP),0.06050059531772576,0.11960000000000001,0.11960000000000001,0.0,1.0,0.26,-0.0,glycolysis,0.0,ecoli
Model A (Shen LP),0.06100059197324416,0.11960000000000001,0.11960000000000001,0.0,1.0,0.26,-0.0,glycolysis,0.0,ecoli
Model A (Shen LP),0.06150058862876255,0.11960000000000001,0.11960000000000001,0.0,1.0,0.26,-0.0,glycolysis,0.0,ecoli
Model A (Shen LP),0.06200058528428094,0.11960000000000001,0.11960000000000001,0.0,1.0,0.26,-0.0,glycolysis,0.0,ecoli
Model A (Shen LP),0.06250058193979934,0.11960000000000001,0.11960000000000001,0.0,1.0,0.26,-0.0,glycolysis,0.0,ecoli
Model A (Shen LP),0.06300057859531774,0.11960000000000001,0.11960000000000001,0.0,1.0,0.26,-0.0,glycolysis,0.0,ecoli
Model A (Shen LP),0.06350057525083613,0.11960000000000001,0.11960000000000001,0.0,1.0,0.26,-0.0,glycolysis,0.0,ecoli
Model A (Shen LP),0.06400057190635453,0.11960000000000001,0.11960000000000001,0.0,1.0,0.26,-0.0,glycolysis,0.0,ecoli
Model A (Shen LP),0.06450056856187292,0.11960000000000001,0.11960000000000001,0.0,1.0,0.26,-0.0,glycolysis,0.0,ecoli
Model A (Shen LP),0.06500056521739131,0.11960000000000001,0.11960000000000001,0.0,1.0,0.26,-0.0,glycolysis,0.0,ecoli
Model A (Shen LP),0.06550056187290972,0.11960000000000001,0.11960000000000001,0.0,1.0,0.26,-0.0,glycolysis,0.0,ecoli
Model A (Shen LP),0.06600055852842811,0.11960000000000001,0.11960000000000001,0.0,1.0,0.26,-0.0,glycolysis,0.0,ecoli
Model A (Shen LP),0.0665005551839465,0.11960000000000001,0.11960000000000001,0.0,1.0,0.26,-0.0,glycolysis,0.0,ecoli
