organism,membrane_frac,effective_Phi,flip_uG,Vgamma_R_cap,Vgamma_G_cap
yeast,0.47959183673469385,0.10408163265306124,0.24014028056112224,0.22100000000000003,0.92
yeast,0.4897959183673469,0.10204081632653061,0.24014028056112224,0.22100000000000003,0.92
yeast,0.5,0.1,0.24014028056112224,0.22100000000000003,0.92
mammalian,0.0,0.18,0.1627655310621242,0.128,0.78
mammalian,0.01020408163265306,0.17816326530612245,0.1627655310621242,0.128,0.78
mammalian,0.02040816326530612,0.17632653061224488,0.1627655310621242,0.128,0.78
mammalian,0.030612244897959183,0.17448979591836733,0.1627655310621242,0.128,0.78
mammalian,0.04081632653061224,0.17265306122448978,0.1627655310621242,0.128,0.78
mammalian,0.0510204081632653,0.17081632653061224,0.1627655310621242,0.128,0.78
mammalian,0.061224489795918366,0.1689795918367347,0.1627655310621242,0.128,0.78
mammalian,0.07142857142857142,0.16714285714285715,0.1627655310621242,0.128,0.78
mammalian,0.08163265306122448,0.16530612244897958,0.1627655310621242,0.128,0.78
mammalian,0.09183673469387754,0.16346938775510203,0.1627655310621242,0.128,0.78
mammalian,0.1020408163265306,0.16163265306122448,0.1627655310621242,0.128,0.78
mammalian,0.11224489795918366,0.15979591836734694,0.1627655310621242,0.128,0.78
mammalian,0.12244897959183673,0.15795918367346937,0.1627655310621242,0.128,0.78
mammalian,0.13265306122448978,0.15612244897959182,0.1627655310621242,0.128,0.78
mammalian,0.14285714285714285,0.1542857142857143,0.1627655310621242,0.128,0.78
mammalian,0.1530612244897959,0.15244897959183673,0.1627655310621242,0.128,0.78
mammalian,0.16326530612244897,0.15061224489795919,0.1627655310621242,0.128,0.78
mammalian,0.17346938775510204,0.14877551020408164,0.1627655310621242,0.128,0.78
mammalian,0.18367346938775508,0.14693877551020407,0.1627655310621242,0.128,0.78
mammalian,0.19387755102040816,0.14510204081632652,0.1627655310621242,0.128,0.78
mammalian,0.2040816326530612,0.14326530612244898,0.1627655310621242,0.128,0.78
mammalian,0.21428571428571427,0.14142857142857143,0.1627655310621242,0.128,0.78
mammalian,0.22448979591836732,0.13959183673469386,0.1627655310621242,0.128,0.78
mammalian,0.2346938775510204,0.13775510204081634,0.1627655310621242,0.128,0.78
mammalian,0.24489795918367346,0.13591836734693877,0.1627655310621242,0.128,0.78
mammalian,0.25510204081632654,0.13408163265306122,0.1627655310621242,0.128,0.78
mammalian,0.26530612244897955,0.13224489795918368,0.1627655310621242,0.128,0.78
mammalian,0.2755102040816326,0.13040816326530613,0.1627655310621242,0.128,0.78
mammalian,0.2857142857142857,0.12857142857142856,0.1627655310621242,0.128,0.78
mammalian,0.29591836734693877,0.126734693877551,0.1627655310621242,0.128,0.78
mammalian,0.3061224489795918,0.12489795918367348,0.1627655310621242,0.128,0.78
mammalian,0.31632653061224486,0.12306122448979591,0.1627655310621242,0.128,0.78
mammalian,0.32653061224489793,0.12122448979591838,0.1627655310621242,0.128,0.78
mammalian,0.336734693877551,0.1193877551020408,0.1627655310621242,0.128,0.78
mammalian,0.3469387755102041,0.11755102040816327,0.1627655310621242,0.128,0.78
mammalian,0.3571428571428571,0.11571428571428571,0.1627655310621242,0.128,0.78
mammalian,0.36734693877551017,0.11387755102040817,0.1627655310621242,0.128,0.78
mammalian,0.37755102040816324,0.11204081632653061,0.1627655310621242,0.128,0.78
mammalian,0.3877551020408163,0.11020408163265306,0.1627655310621242,0.128,0.78
mammalian,0.39795918367346933,0.10836734693877553,0.1627655310621242,0.128,0.78
mammalian,0.4081632653061224,0.10653061224489796,0.1627655310621242,0.128,0.78
mammalian,0.4183673469387755,0.10469387755102041,0.1627655310621242,0.128,0.78
mammalian,0.42857142857142855,0.10285714285714284,0.1627655310621242,0.128,0.78
mammalian,0.4387755102040816,0.10102040816326531,0.1627655310621242,0.128,0.78
mammalian,0.44897959183673464,0.09918367346938776,0.1627655310621242,0.128,0.78
mammalian,0.4591836734693877,0.0973469387755102,0.1627655310621242,0.128,0.78
mammalian,0.4693877551020408,0.09551020408163266,0.1627655310621242,0.128,0.78
mammalian,0.47959183673469385,0.0936734693877551,0.1627655310621242,0.128,0.78
mammalian,0.4897959183673469,0.09183673469387756,0.1627655310621242,0.128,0.78
mammalian,0.5,0.09,0.1627655310621242,0.128,0.78
